offset_dec offset_hex byte_hex bits       field
       372 0x00000174 ab       10101011 block.tx[1].vout[1].script_pubkey
       373 0x00000175 7f       01111111 block.tx[1].vout[1].script_pubkey
       374 0x00000176 d1       11010001 block.tx[1].vout[1].script_pubkey
       375 0x00000177 79       01111001 block.tx[1].vout[1].script_pubkey
       376 0x00000178 8f       10001111 block.tx[1].vout[1].script_pubkey
       377 0x00000179 51       01010001 block.tx[1].vout[1].script_pubkey
       378 0x0000017a 77       01110111 block.tx[1].vout[1].script_pubkey
       379 0x0000017b 62       01100010 block.tx[1].vout[1].script_pubkey
       380 0x0000017c 02       00000010 block.tx[1].vin[0].witness_count
       381 0x0000017d 47       01000111 block.tx[1].vin[0].witness[0].length
       382 0x0000017e 30       00110000 block.tx[1].vin[0].witness[0].data
       383 0x0000017f 44       01000100 block.tx[1].vin[0].witness[0].data
       384 0x00000180 02       00000010 block.tx[1].vin[0].witness[0].data
       385 0x00000181 20       00100000 block.tx[1].vin[0].witness[0].data
       386 0x00000182 37       00110111 block.tx[1].vin[0].witness[0].data
       387 0x00000183 46       01000110 block.tx[1].vin[0].witness[0].data
       388 0x00000184 2d       00101101 block.tx[1].vin[0].witness[0].data
       389 0x00000185 eb       11101011 block.tx[1].vin[0].witness[0].data
       390 0x00000186 b2       10110010 block.tx[1].vin[0].witness[0].data
       391 0x00000187 cc       11001100 block.tx[1].vin[0].witness[0].data
       392 0x00000188 cf       11001111 block.tx[1].vin[0].witness[0].data
       393 0x00000189 9d       10011101 block.tx[1].vin[0].witness[0].data
       394 0x0000018a 64       01100100 block.tx[1].vin[0].witness[0].data
       395 0x0000018b 62       01100010 block.tx[1].vin[0].witness[0].data
       396 0x0000018c 39       00111001 block.tx[1].vin[0].witness[0].data
       397 0x0000018d 82       10000010 block.tx[1].vin[0].witness[0].data
       398 0x0000018e 19       00011001 block.tx[1].vin[0].witness[0].data
       399 0x0000018f 5e       01011110 block.tx[1].vin[0].witness[0].data
       400 0x00000190 a5       10100101 block.tx[1].vin[0].witness[0].data
       401 0x00000191 38       00111000 block.tx[1].vin[0].witness[0].data
       402 0x00000192 e6       11100110 block.tx[1].vin[0].witness[0].data
       403 0x00000193 ed       11101101 block.tx[1].vin[0].witness[0].data
       404 0x00000194 24       00100100 block.tx[1].vin[0].witness[0].data
