start,end_exclusive,length,field,wire_hex,interpreted_value
1962,1970,8,block.tx[6].vout[3].value_satoshi,4ce4a90500000000,95020108
1970,1971,1,block.tx[6].vout[3].script_pubkey_length,16,22
1971,1993,22,block.tx[6].vout[3].script_pubkey,0014bbc2037b850bcd8f9b890db2bcb5c380cb6fbbdc,0014bbc2037b850bcd8f9b890db2bcb5c380cb6fbbdc
1993,1994,1,block.tx[6].vin[0].witness_count,02,2
1994,1995,1,block.tx[6].vin[0].witness[0].length,48,72
1995,2067,72,block.tx[6].vin[0].witness[0].data,3045022100bdcdede249f0f65d8dfe350a67ab14bb12ecc5036d7e135ef5d4229af2df663102201f0837189829eafc4ca5771f60c5743dd931a86258d3c693829a7293ed0339f801,3045022100bdcdede249f0f65d8dfe350a67ab14bb12ecc5036d7e135ef5d4229af2df663102201f0837189829eafc4ca5771f60c5743dd931a86258d3c693829a7293ed0339f801
2067,2068,1,block.tx[6].vin[0].witness[1].length,21,33
2068,2101,33,block.tx[6].vin[0].witness[1].data,0390ac550ac85b5fb219a82e24a79eb664f8bb4b86a19fdcb6f64161c00657a78c,0390ac550ac85b5fb219a82e24a79eb664f8bb4b86a19fdcb6f64161c00657a78c
2101,2105,4,block.tx[6].locktime,00000000,0
2105,2109,4,block.tx[7].version,01000000,1
2109,2110,1,block.tx[7].marker,00,0 (SegWit marker)
2110,2111,1,block.tx[7].flag,01,1 (witness present)
2111,2112,1,block.tx[7].input_count,01,1
2112,2144,32,block.tx[7].vin[0].prev_txid_le,34e1d916dd0a3292a93d6e5d46fe378393fae4d8ed262984c4caf4153b45d250,34e1d916dd0a3292a93d6e5d46fe378393fae4d8ed262984c4caf4153b45d250
2144,2148,4,block.tx[7].vin[0].prev_vout,01000000,1
2148,2149,1,block.tx[7].vin[0].script_sig_length,00,0
2149,2149,0,block.tx[7].vin[0].script_sig,,
2149,2153,4,block.tx[7].vin[0].sequence,ffffffff,4294967295
2153,2154,1,block.tx[7].output_count,02,2
2154,2162,8,block.tx[7].vout[0].value_satoshi,1027000000000000,10000
2162,2163,1,block.tx[7].vout[0].script_pubkey_length,16,22
2163,2185,22,block.tx[7].vout[0].script_pubkey,00149f2e90fb725c9b9e062e6fe6ccf4ebb332bb70de,00149f2e90fb725c9b9e062e6fe6ccf4ebb332bb70de
2185,2193,8,block.tx[7].vout[1].value_satoshi,a41bec0500000000,99359652
2193,2194,1,block.tx[7].vout[1].script_pubkey_length,16,22
2194,2216,22,block.tx[7].vout[1].script_pubkey,00147f3a612345a09d2d4a70925699862764505c4e9d,00147f3a612345a09d2d4a70925699862764505c4e9d
2216,2217,1,block.tx[7].vin[0].witness_count,02,2
2217,2218,1,block.tx[7].vin[0].witness[0].length,47,71
